,cell,bounds,x0,x1,y0,y1,label,font_size,is_bold,color,text_rotation
978,QP23,"(458, 23, 458, 23)",458,23,459,24,45,9.0,False,#ccffff,90
1300,QQ23,"(459, 23, 459, 23)",459,23,460,24,50,9.0,False,#ccffff,90
1260,QR23,"(460, 23, 460, 23)",460,23,461,24,55,9.0,False,#ccffff,90
885,QS23,"(461, 23, 461, 23)",461,23,462,24,19+1,9.0,False,#da9694,90
835,QT23,"(462, 23, 462, 23)",462,23,463,24,05,9.0,False,#ccffff,90
793,QU23,"(463, 23, 463, 23)",463,23,464,24,10,9.0,False,#ccffff,90
556,QV23,"(464, 23, 464, 23)",464,23,465,24,15,9.0,False,#ccffff,90
1069,QW23,"(465, 23, 465, 23)",465,23,466,24,20,9.0,False,#ccffff,90
104,QX23,"(466, 23, 466, 23)",466,23,467,24,25,9.0,False,#ccffff,90
59,QY23,"(467, 23, 467, 23)",467,23,468,24,30,9.0,False,#ccffff,90
404,QZ23,"(468, 23, 468, 23)",468,23,469,24,35,9.0,False,#ccffff,90
357,RA23,"(469, 23, 469, 23)",469,23,470,24,40,9.0,False,#ccffff,90
476,RB23,"(470, 23, 470, 23)",470,23,471,24,45,9.0,False,#ccffff,90
1635,RC23,"(471, 23, 471, 23)",471,23,472,24,50,9.0,False,#ccffff,90
599,RD23,"(472, 23, 472, 23)",472,23,473,24,55,9.0,False,#ccffff,90
188,RE23,"(473, 23, 473, 23)",473,23,474,24,20+1,9.0,False,#da9694,90
328,RF23,"(474, 23, 474, 23)",474,23,475,24,05,9.0,False,#ccffff,90
269,RG23,"(475, 23, 475, 23)",475,23,476,24,10,9.0,False,#ccffff,90
444,RH23,"(476, 23, 476, 23)",476,23,477,24,15,9.0,False,#ccffff,90
1693,RI23,"(477, 23, 477, 23)",477,23,478,24,20,9.0,False,#ccffff,90
2,RJ23,"(478, 23, 478, 23)",478,23,479,24,25,9.0,False,#ccffff,90
